,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
0,0.6369,Fri Jan 19 20:03:05 +0000 2018,0.0,0.802,0.198,@BBC,"🌺🍃🍊 @TheMontyDon discovers paradise gardens in Spain, Morocco and Iran and uncovers the influence they've had back… https://t.co/Yfu5HcI0g4",0
1,0.0,Fri Jan 19 19:33:03 +0000 2018,0.0,1.0,0.0,@BBC,"Industry insiders reveal how the music business really works. 🎶 🤝 ✨

Hits, Hype &amp; Hustle: An Insider's Guide to the… https://t.co/OGmGKJ9EC6",1
2,0.0,Fri Jan 19 19:00:11 +0000 2018,0.0,1.0,0.0,@BBC,"You have the first kid and it's great... 

#LiveAtTheApollo https://t.co/D9ODkUmN7U",2
3,0.1027,Fri Jan 19 18:30:06 +0000 2018,0.171,0.684,0.145,@BBC,🙅🍻 'Thousands of Britons who don't drink that much anyway are currently enjoying a pretend battle with alcohol for… https://t.co/l27xc0Ukzj,3
4,0.0,Fri Jan 19 18:00:11 +0000 2018,0.0,1.0,0.0,@BBC,⚡️ Twitter users have been imagining how Hogwarts might look if it included more black characters.… https://t.co/oSue8TO5DF,4
5,0.7964,Fri Jan 19 17:30:09 +0000 2018,0.0,0.616,0.384,@BBC,😂 'The cone saved my life and I'd like to think it saved other lives too.' https://t.co/QE2adyrE4J,5
6,0.7964,Fri Jan 19 17:00:17 +0000 2018,0.0,0.679,0.321,@BBC,"What makes the perfect pub? 🍻

📻 @BBCRadio4 explains how George Orwell invented the ideal drinking house. 👉… https://t.co/6w5nWHv0x1",6
7,-0.5574,Fri Jan 19 16:33:28 +0000 2018,0.203,0.729,0.068,@BBC,Scientists believe that the death of a large number of antelopes was triggered by environmental factors.… https://t.co/ItSxX2j9om,7
8,0.5106,Fri Jan 19 14:30:06 +0000 2018,0.0,0.82,0.18,@BBC,"🎶 💖 ""It's always fun working with @BTS_twt"". 

👞 ✨ @BBCR1's @AdeleRoberts meets the choreographer who has helped to… https://t.co/r8zmiF1uL9",8
9,0.5411,Fri Jan 19 14:03:07 +0000 2018,0.0,0.741,0.259,@BBC,London has been lit up for the Lumiere festival! 💡 💖 🌟 https://t.co/UtQvM8axPg https://t.co/ycXU6T9HFh,9
10,0.0,Fri Jan 19 13:30:09 +0000 2018,0.0,1.0,0.0,@BBC,"Do you see yourself the way others see you? 👀

What happens in your head may have more of an effect on what you see… https://t.co/YZcgOt6FWm",10
11,0.3818,Fri Jan 19 13:00:10 +0000 2018,0.0,0.852,0.148,@BBC,🤖💿 The album that could change the way we think about AI and creativity. https://t.co/TkMPr4hCh4 https://t.co/wayYAqyIX5,11
12,0.0,Fri Jan 19 12:30:04 +0000 2018,0.0,1.0,0.0,@BBC,PSA: Valentine's Day is only a few weeks away! ❤️ https://t.co/oSFr2ZLBPw,12
13,0.0,Fri Jan 19 12:00:10 +0000 2018,0.0,1.0,0.0,@BBC,What if the whole world used the same writing system? 📝 https://t.co/bV3XDLi6eI https://t.co/eqm1sUPit1,13
14,0.0,Fri Jan 19 11:03:03 +0000 2018,0.0,1.0,0.0,@BBC,"The most moreish snack ever, these popcorn balls are squidged together with marshmallow and sprinkled with coffee.… https://t.co/MMA2YNq9u7",14
15,0.0,Fri Jan 19 10:42:03 +0000 2018,0.0,1.0,0.0,@BBC,"🎶 ✨ @BBCR1's @AdeleRoberts tracks the rise of K-Pop and meets @BTS_twt, the biggest band in the scene. 

Watch on… https://t.co/REgXX05cyB",15
16,0.0,Fri Jan 19 10:26:34 +0000 2018,0.0,1.0,0.0,@BBC,"RT @BBCBreakfast: Oh, hello there! 🐧
Pics: @AusAntarctic https://t.co/oIUadMixym",16
17,0.5574,Fri Jan 19 10:25:53 +0000 2018,0.0,0.82,0.18,@BBC,"RT @BBCR1: What's it like working with @BTS_twt? @AdeleRoberts meets Mr. Son, the choreographer who has helped create some of their most in…",17
18,0.1027,Fri Jan 19 10:25:32 +0000 2018,0.071,0.845,0.084,@BBC,"RT @BBCEarth: The Pallas’ cat has ears low down on its head and can flatten their bodies to the ground to look like rocks while hunting
#Bi…",18
19,0.0,Fri Jan 19 09:00:05 +0000 2018,0.0,1.0,0.0,@BBC,"💜✨ Last Friday, Brighton had a massive Queer Prom for those who never got to go as themselves.… https://t.co/26ut0ioyYR",19
20,0.6369,Fri Jan 19 20:03:05 +0000 2018,0.0,0.802,0.198,@BBC,"🌺🍃🍊 @TheMontyDon discovers paradise gardens in Spain, Morocco and Iran and uncovers the influence they've had back… https://t.co/Yfu5HcI0g4",20
21,0.0,Fri Jan 19 19:33:03 +0000 2018,0.0,1.0,0.0,@BBC,"Industry insiders reveal how the music business really works. 🎶 🤝 ✨

Hits, Hype &amp; Hustle: An Insider's Guide to the… https://t.co/OGmGKJ9EC6",21
22,0.0,Fri Jan 19 19:00:11 +0000 2018,0.0,1.0,0.0,@BBC,"You have the first kid and it's great... 

#LiveAtTheApollo https://t.co/D9ODkUmN7U",22
23,0.1027,Fri Jan 19 18:30:06 +0000 2018,0.171,0.684,0.145,@BBC,🙅🍻 'Thousands of Britons who don't drink that much anyway are currently enjoying a pretend battle with alcohol for… https://t.co/l27xc0Ukzj,23
24,0.0,Fri Jan 19 18:00:11 +0000 2018,0.0,1.0,0.0,@BBC,⚡️ Twitter users have been imagining how Hogwarts might look if it included more black characters.… https://t.co/oSue8TO5DF,24
25,0.7964,Fri Jan 19 17:30:09 +0000 2018,0.0,0.616,0.384,@BBC,😂 'The cone saved my life and I'd like to think it saved other lives too.' https://t.co/QE2adyrE4J,25
26,0.7964,Fri Jan 19 17:00:17 +0000 2018,0.0,0.679,0.321,@BBC,"What makes the perfect pub? 🍻

📻 @BBCRadio4 explains how George Orwell invented the ideal drinking house. 👉… https://t.co/6w5nWHv0x1",26
27,-0.5574,Fri Jan 19 16:33:28 +0000 2018,0.203,0.729,0.068,@BBC,Scientists believe that the death of a large number of antelopes was triggered by environmental factors.… https://t.co/ItSxX2j9om,27
28,0.5106,Fri Jan 19 14:30:06 +0000 2018,0.0,0.82,0.18,@BBC,"🎶 💖 ""It's always fun working with @BTS_twt"". 

👞 ✨ @BBCR1's @AdeleRoberts meets the choreographer who has helped to… https://t.co/r8zmiF1uL9",28
29,0.5411,Fri Jan 19 14:03:07 +0000 2018,0.0,0.741,0.259,@BBC,London has been lit up for the Lumiere festival! 💡 💖 🌟 https://t.co/UtQvM8axPg https://t.co/ycXU6T9HFh,29
